IDs         length   Exptl.  resolution  R-factor FreeRvalue
3PIWA       161      XRAY        1.490    0.14    0.19
5J93A       176      XRAY        1.100    0.13    0.14
1V5IB        76      XRAY        1.500    0.18    0.19
4CDPA       354      XRAY        1.450    0.14    0.17
5LS7A        41      XRAY        1.160    0.12    0.14
5BTYA       138      XRAY        1.150    0.17    0.19
3ZOQB        56      XRAY        1.450    0.14    0.18
5O5SA       131      XRAY        1.170    0.15    0.18
2VE8A        73      XRAY        1.400    0.15    0.19
1VMHA       144      XRAY        1.310    0.16    0.18
5MPWA       115      XRAY        1.500    0.16    0.19
4JG2A       208      XRAY        1.300    0.13    0.16
2CC6A        68      XRAY        1.270    0.21    0.23
3OBLA       132      XRAY        1.200    0.14    0.17
2QFAC        47      XRAY        1.400    0.19    0.20
3AYJA       721      XRAY        1.100    0.11    0.13
2ODIA       238      XRAY        1.450    0.17    0.20
2VC8A        84      XRAY        1.310    0.20    0.23
1GCIA       269      XRAY        0.780    0.10    0.10
4PI8A       228      XRAY        1.390    0.15    0.17
5JVIE       316      XRAY        1.120    0.10    0.12
5B1AJ        59      XRAY        1.500    0.15    0.17
3UI4A       101      XRAY        0.800    0.10    0.10
4ZQXA       237      XRAY        1.460    0.11    0.15
3N08A       153      XRAY        1.250    0.15    0.17
2OB3A       330      XRAY        1.040    0.10    0.13
5B8DA       107      XRAY        1.050    0.13    0.15
4EKFA       204      XRAY        0.980    0.14    0.17
2X9ZA       262      XRAY        1.300    0.15    0.18
1W23A       360      XRAY        1.080    0.12    0.14
5EXHC        47      XRAY        1.300    0.17    0.19
5DWAA       278      XRAY        1.500    0.15    0.18
4LZXB        40      XRAY        1.500    0.15    0.19
3Q6BA       189      XRAY        1.500    0.15    0.19
5AZWA        96      XRAY        1.500    0.22    0.23
4GJZA       235      XRAY        1.050    0.15    0.16
5K2LA        49      XRAY        1.200    0.14    0.18
1M2DA       110      XRAY        1.050    0.14    0.16
5B1AC       261      XRAY        1.500    0.15    0.17
1V0WA       506      XRAY        1.350    0.16    0.19
5B42A       102      XRAY        1.350    0.14    0.18
4E3YA       245      XRAY        0.950    0.13    0.14
4IQBA       315      XRAY        1.130    0.12    0.14
3QZRA       187      XRAY        1.040    0.16    0.16
1GP0A       143      XRAY        1.400    0.21    0.24
4P40A       425      XRAY        1.200    0.14    0.16
1K4IA       233      XRAY        0.980    0.18    0.20
1EUWA       152      XRAY        1.050    0.14    0.16
5L74A       151      XRAY        1.360    0.18    0.20
3TOWA       152      XRAY        1.340    0.17    0.19
3ITFA       145      XRAY        1.450    0.17    0.19
2XW6A       134      XRAY        1.080    0.13    0.16
5I0YA       160      XRAY        1.400    0.19    0.21
5EDFA       244      XRAY        1.400    0.17    0.19
6BHDA       239      XRAY        1.250    0.15    0.18
2VXNA       251      XRAY        0.820    0.09    0.10
3ZOJA       279      XRAY        0.880    0.10    0.11
2CE2X       166      XRAY        1.000    0.14    0.16
5AGRA       232      XRAY        1.300    0.17    0.20
1H4XA       117      XRAY        1.160    0.13    0.16
5UJCA       270      XRAY        1.350    0.13    0.16
4H6CA       195      XRAY        1.350    0.14    0.17
1KJQA       391      XRAY        1.050    0.19    0.21
2FCOA       200      XRAY        1.400    0.22    0.23
4YWAA       121      XRAY        1.190    0.19    0.20
1VJUA       309      XRAY        1.400    0.15    0.18
4RWUA        92      XRAY        1.250    0.12    0.15
5I45A       218      XRAY        1.350    0.16    0.20
1XBIA       120      XRAY        1.450    0.18    0.19
4L9PA       367      XRAY        1.450    0.13    0.15
5DP2A       342      XRAY        0.960    0.12    0.13
1V05A        96      XRAY        1.430    0.19    0.20
2QFEA       148      XRAY        1.450    0.19    0.21
5KTNA       304      XRAY        1.340    0.12    0.15
3U9WA       608      XRAY        1.250    0.13    0.16
5KZZA       127      XRAY        1.330    0.16    0.19
3RZNA       209      XRAY        1.100    0.14    0.16
3AWUB       134      XRAY        1.160    0.14    0.17
4D8BA       261      XRAY        1.060    0.14    0.16
2QIPA       165      XRAY        1.480    0.16    0.18
2CNQA       306      XRAY        1.000    0.12    0.13
5OLRA       522      XRAY        1.070    0.15    0.17
5TVOB        59      XRAY        1.480    0.16    0.20
2GRRB       170      XRAY        1.300    0.20    0.22
5YDEA       112      XRAY        1.020    0.12    0.14
4Y1WA       239      XRAY        1.400    0.16    0.18
1DI6A       195      XRAY        1.450    0.19    0.21
4NLMA       363      XRAY        1.180    0.15    0.18
4REKA       499      XRAY        0.740    0.11    0.12
4AFFA       116      XRAY        1.050    0.13    0.14
3S0AA       119      XRAY        1.150    0.16    0.18
2CI1A       275      XRAY        1.080    0.11    0.14
1XSZA       356      XRAY        1.410    0.20    0.23
3E4GA       176      XRAY        0.960    0.14    0.16
2GUDA       122      XRAY        0.940    0.14    0.16
1J0PA       108      XRAY        0.910    0.11    0.14
5CWHA       172      XRAY        1.300    0.16    0.18
1SFSA       240      XRAY        1.070    0.10    0.14
6ES9A       551      XRAY        1.370    0.18    0.18
5JDKA       137      XRAY        1.000    0.17    0.18
5DMDA       151      XRAY        1.450    0.21    0.24
4NYQA       164      XRAY        1.200    0.15    0.19
1R6XA       395      XRAY        1.400    0.20    0.22
3CJSA        59      XRAY        1.370    0.18    0.21
5HOCA        50      XRAY        1.360    0.23    0.25
1MWQA       101      XRAY        0.990    0.11    0.13
3NVSA       450      XRAY        1.020    0.12    0.14
2V8FA       140      XRAY        1.100    0.15    0.17
4ZVFA       172      XRAY        1.150    0.14    0.17
4ZW9A       518      XRAY        1.500    0.18    0.20
2RFFA       111      XRAY        1.400    0.15    0.19
5F4CA        93      XRAY        1.400    0.14    0.18
4FS7A       394      XRAY        1.190    0.13    0.16
1Z3EB        73      XRAY        1.500    0.20    0.22
5LS4A       206      XRAY        1.470    0.17    0.20
2UU8A       237      XRAY        0.940    0.12    0.14
1XDNA       277      XRAY        1.200    0.13    0.15
2HS1A        99      XRAY        0.840    0.12    0.15
2IXMA       303      XRAY        1.500    0.20    0.22
4R03A       109      XRAY        1.500    0.17    0.19
1JI7A        89      XRAY        1.450    0.18    0.20
2BOGX       286      XRAY        1.040    0.15    0.17
1N62B       809      XRAY        1.090    0.14    0.17
4FZLA       247      XRAY        1.460    0.15    0.20
1NWZA       125      XRAY        0.820    0.12    0.14
2ZNRA       178      XRAY        1.200    0.15    0.17
3X0TA       119      XRAY        1.170    0.13    0.17
4PF3A       275      XRAY        1.100    0.15    0.18
1X9IA       302      XRAY        1.160    0.15    0.16
3S9XA       159      XRAY        1.350    0.14    0.17
3ZRXA       115      XRAY        1.250    0.15    0.20
2FCWA       109      XRAY        1.260    0.15    0.20
5AE0A       221      XRAY        1.040    0.13    0.16
1M4LA       307      XRAY        1.250    0.10    0.14
5UUKA       152      XRAY        1.200    0.14    0.16
2Y78A       133      XRAY        0.910    0.11    0.12
3IB5A       348      XRAY        1.350    0.15    0.18
3D1PA       139      XRAY        0.980    0.11    0.12
1ZK5A       176      XRAY        1.400    0.19    0.20
4GMQA       103      XRAY        1.300    0.15    0.19
4E6FA       181      XRAY        1.490    0.16    0.18
2E3HA        90      XRAY        1.450    0.19    0.21
1WPNA       188      XRAY        1.300    0.14    0.17
5X4RA       342      XRAY        1.500    0.16    0.20
4XDUA       340      XRAY        1.350    0.17    0.19
5A1IA       395      XRAY        1.090    0.10    0.12
5HHJA       305      XRAY        1.200    0.12    0.15
1VZMA        45      XRAY        1.400    0.19    0.23
3ROFA       158      XRAY        1.030    0.15    0.17
5OL4C       570      XRAY        1.280    0.12    0.14
3IKWA       374      XRAY        1.300    0.19    0.21
5BR4A       391      XRAY        0.910    0.13    0.15
1E5KA       201      XRAY        1.350    0.18    0.21
2XHGA       466      XRAY        1.500    0.16    0.18
3G7RA       221      XRAY        1.380    0.15    0.17
5DHDA       100      XRAY        1.270    0.20    0.20
5U3AA       496      XRAY        0.950    0.11    0.12
5HQHA       109      XRAY        1.320    0.16    0.19
4JK8A       222      XRAY        1.150    0.14    0.16
3IEZA       114      XRAY        1.500    0.21    0.26
3K7PA       179      XRAY        1.400    0.22    0.23
2DDXA       333      XRAY        0.860    0.14    0.15
5G38A       172      XRAY        1.150    0.16    0.18
1WPUA       147      XRAY        1.480    0.21    0.24
5JUGA       168      XRAY        0.960    0.12    0.14
1U07A        90      XRAY        1.130    0.14    0.18
5K1PA       274      XRAY        1.500    0.17    0.20
2NR7A       195      XRAY        1.300    0.16    0.20
4O6UA       184      XRAY        0.890    0.12    0.13
1SZHA       161      XRAY        1.500    0.21    0.23
5DGJA       188      XRAY        1.000    0.14    0.15
4EBGA       101      XRAY        1.200    0.14    0.17
1MUWA       386      XRAY        0.860    0.13    0.14
4FR9A       144      XRAY        1.200    0.15    0.17
3GO5A       285      XRAY        1.400    0.15    0.17
4MAKA        94      XRAY        1.100    0.14    0.17
5OPZA       137      XRAY        1.340    0.09    0.12
4Z47A       204      XRAY        1.450    0.14    0.20
1MNNA       340      XRAY        1.400    0.20    0.21
5CKLA       188      XRAY        0.990    0.11    0.12
2PRVA       153      XRAY        1.300    0.14    0.17
1F8EA       388      XRAY        1.400    0.19    0.22
4ZGFA       141      XRAY        1.000    0.12    0.14
4P3AA        79      XRAY        1.400    0.15    0.17
3FTDA       249      XRAY        1.440    0.16    0.20
1KQPA       271      XRAY        1.030    0.11    0.14
5HJ9A       330      XRAY        1.280    0.15    0.16
5AOTA       106      XRAY        1.020    0.17    0.17
3BT5A       177      XRAY        1.350    0.16    0.19
3H4TA       404      XRAY        1.150    0.17    0.18
4ZBHA       146      XRAY        1.500    0.16    0.20
4JTMA        81      XRAY        1.430    0.19    0.22
1YBKA        52      XRAY        1.450    0.21    0.23
3NO7A        80      XRAY        1.400    0.20    0.21
5O9MA       180      XRAY        1.400    0.18    0.20
4EVUA        72      XRAY        1.450    0.13    0.17
2QFAB        62      XRAY        1.400    0.19    0.20
2NWFA       141      XRAY        1.100    0.12    0.14
3ZZSA        65      XRAY        1.490    0.15    0.18
4CFQQ        45      XRAY        1.370    0.16    0.19
3EYEA       168      XRAY        1.450    0.19    0.22
3IMKA       158      XRAY        1.450    0.15    0.18
2P8IA       117      XRAY        1.400    0.14    0.17
4C6AA       154      XRAY        1.250    0.16    0.17
4WE2A       277      XRAY        1.500    0.18    0.21
3Q46A       178      XRAY        0.990    0.11    0.12
5IVBA       330      XRAY        1.390    0.18    0.21
2RBKA       261      XRAY        1.000    0.12    0.15
5OD4A       128      XRAY        1.100    0.14    0.17
5IDBA       142      XRAY        1.000    0.12    0.14
4BGCA       102      XRAY        1.200    0.17    0.20
4WY4A        64      XRAY        1.400    0.14    0.18
4P0ZA       149      XRAY        1.350    0.17    0.20
5BOBA       226      XRAY        1.500    0.16    0.19
2V89A        82      XRAY        1.100    0.12    0.15
3NO0A       276      XRAY        1.300    0.17    0.19
3NRFA       106      XRAY        1.500    0.19    0.22
5V0MA        98      XRAY        1.410    0.17    0.21
1GWMA       153      XRAY        1.150    0.13    0.16
3M5QA       357      XRAY        0.930    0.12    0.13
5M0WA        82      XRAY        1.390    0.12    0.14
5IMAA       160      XRAY        1.040    0.12    0.14
2V7FA       150      XRAY        1.150    0.14    0.15
3SU6A       203      XRAY        1.100    0.15    0.17
5UEBA       147      XRAY        1.500    0.16    0.18
3IQUA       236      XRAY        1.050    0.13    0.15
2II2A       310      XRAY        1.100    0.20    0.23
4BFOA       106      XRAY        1.180    0.16    0.17
4HI8B        72      XRAY        1.200    0.14    0.17
5X5MA       216      XRAY        1.210    0.18    0.20
4CJ0B        81      XRAY        1.100    0.11    0.12
2H8EA       120      XRAY        1.200    0.18    0.19
5EP6A        47      XRAY        1.450    0.19    0.22
1Q5YA        85      XRAY        1.400    0.16    0.22
5D8VA        83      XRAY        0.480    0.07    0.08
3NZLA        83      XRAY        1.200    0.15    0.18
3JTZA        88      XRAY        1.300    0.21    0.24
3NUFA       119      XRAY        1.380    0.17    0.19
4HWMA       130      XRAY        1.380    0.15    0.18
3WS7A       306      XRAY        1.180    0.17    0.19
4YTWB       184      XRAY        1.400    0.22    0.24
4TXRA       163      XRAY        1.000    0.16    0.18
4F2LA        61      XRAY        1.500    0.18    0.21
5MK9A       379      XRAY        0.920    0.11    0.12
1BYIA       224      XRAY        0.970    0.12    1.00
4OI3A        89      XRAY        1.300    0.15    0.17
5UOUA       166      XRAY        1.500    0.17    0.20
3B9WA       407      XRAY        1.300    0.15    0.17
6ETLA       124      XRAY        0.850    0.10    0.12
2AXWA       134      XRAY        1.050    0.15    0.17
4UE8A       184      XRAY        1.100    0.15    0.16
2V9LA       274      XRAY        1.230    0.09    0.12
3DFGA       162      XRAY        1.500    0.20    0.23
5X5VA       402      XRAY        1.500    0.17    0.19
4E4RA       331      XRAY        1.440    0.13    0.18
3FGHA        67      XRAY        1.350    0.19    0.21
2IP6A       112      XRAY        1.350    0.21    0.23
3IPJA        95      XRAY        1.200    0.14    0.17
3C9UA       342      XRAY        1.480    0.20    0.22
5C17A       209      XRAY        1.240    0.14    0.16
2NUHA       118      XRAY        1.390    0.20    0.20
1M22A       503      XRAY        1.400    0.18    0.20
2I5VO       251      XRAY        1.100    0.16    0.17
2IT2A       200      XRAY        1.500    0.25    0.27
3SZVA       401      XRAY        1.450    0.18    0.20
3VMKA       375      XRAY        1.480    0.20    0.23
5UXSA       323      XRAY        1.420    0.18    0.19
4WDCA       179      XRAY        1.290    0.12    0.15
1TZPA       255      XRAY        1.400    0.18    0.21
5EHIA       276      XRAY        1.300    0.19    0.21
2OVJA       201      XRAY        1.490    0.15    0.18
6EUWA       163      XRAY        1.000    0.14    0.16
4WPKA       238      XRAY        0.980    0.14    0.15
1USMA        80      XRAY        1.200    0.21    0.23
4IL7A       166      XRAY        1.400    0.14    0.17
5A0YA       550      XRAY        1.100    0.11    0.13
5L0VB        42      XRAY        1.300    0.16    0.17
4F98A        69      XRAY        1.260    0.14    0.17
2DS5A        51      XRAY        1.500    0.19    0.22
2JFRA       234      XRAY        0.830    0.10    0.12
1P6OA       161      XRAY        1.140    0.11    0.15
5ML3B       149      XRAY        1.400    0.19    0.20
1X8QA       184      XRAY        0.850    0.10    0.13
2XODA       119      XRAY        0.960    0.12    0.15
5WGIA       364      XRAY        1.050    0.11    0.13
3U6GA       126      XRAY        1.350    0.16    0.21
1IX9A       205      XRAY        0.900    0.11    0.13
3RX9A       155      XRAY        1.350    0.14    0.16
2HBAA        52      XRAY        1.250    0.14    0.16
5B1AL        47      XRAY        1.500    0.15    0.17
4ABLA       183      XRAY        1.150    0.16    0.19
1UNQA       125      XRAY        0.980    0.15    0.18
4KXVA       637      XRAY        0.970    0.10    0.11
5VHGA       150      XRAY        1.270    0.15    0.18
1VYIA       112      XRAY        1.500    0.17    0.20
1DP7P        76      XRAY        1.500    0.19    0.23
4U9HL       533      XRAY        0.890    0.10    0.11
5I5NA       154      XRAY        1.420    0.18    0.19
4YMYA       174      XRAY        1.000    0.12    0.14
4UFXA       385      XRAY        1.490    0.16    0.20
4OUSA       143      XRAY        1.050    0.15    0.16
4UHQA       136      XRAY        1.500    0.17    0.19
5HTLA       145      XRAY        1.370    0.20    0.22
2CIWA       299      XRAY        1.150    0.15    0.17
5BPKA       379      XRAY        1.490    0.14    0.18
5IG6A       115      XRAY        0.910    0.13    0.14
5IXHA       161      XRAY        1.400    0.16    0.18
4FTFA       112      XRAY        1.480    0.16    0.18
5GQIA       247      XRAY        1.300    0.14    0.17
4MBYA       278      XRAY        1.480    0.17    0.19
1M0KA       262      XRAY        1.430    0.13    0.18
2IBLA       130      XRAY        1.320    0.16    0.17
3JQ0A       493      XRAY        1.130    0.12    0.14
5J80A       225      XRAY        1.170    0.18    0.19
2Z51A       154      XRAY        1.350    0.14    0.17
1T61A       229      XRAY        1.500    0.20    0.20
5N6FA       375      XRAY        1.120    0.14    0.15
4UE0A       122      XRAY        1.170    0.12    0.15
4GZCA       180      XRAY        1.300    0.21    0.23
1XMTA       103      XRAY        1.150    0.15    0.17
4M8AA        72      XRAY        1.500    0.17    0.20
3ORUA       234      XRAY        1.110    0.13    0.15
1X2IA        75      XRAY        1.450    0.22    0.24
2WUJA        57      XRAY        1.400    0.19    0.22
4K12A        64      XRAY        1.080    0.15    0.17
4RXVA       229      XRAY        1.100    0.12    0.14
2I5UA        83      XRAY        1.500    0.18    0.23
4PXYA       250      XRAY        1.500    0.14    0.16
3T3LA       129      XRAY        1.150    0.17    0.18
2NLVA       112      XRAY        1.300    0.18    0.20
3WH2A       147      XRAY        1.300    0.13    0.16
4G9SB       111      XRAY        0.950    0.13    0.14
3TG0A       449      XRAY        1.200    0.15    0.17
2RA9A       150      XRAY        1.400    0.16    0.20
1O7JA       327      XRAY        1.000    0.11    0.13
1LLFA       534      XRAY        1.400    0.14    0.17
5P9VA       221      XRAY        1.040    0.13    0.16
3QZBA       143      XRAY        1.100    0.13    0.15
2V3IA       434      XRAY        1.050    0.12    0.14
3ZZOA        95      XRAY        1.150    0.13    0.15
4W79A       202      XRAY        1.500    0.14    0.17
5KY5B        40      XRAY        1.500    0.16    0.17
2R01A       210      XRAY        1.150    0.15    0.17
3NDHA       225      XRAY        1.300    0.17    0.18
4PDNA       190      XRAY        1.450    0.15    0.17
3D9XA       163      XRAY        1.130    0.16    0.18
5GV0A       168      XRAY        1.500    0.18    0.20
4B1YB       376      XRAY        1.290    0.15    0.17
4YECB       236      XRAY        1.120    0.16    0.19
5DCUA       371      XRAY        1.400    0.16    0.18
1EGWA        77      XRAY        1.500    0.21    0.23
2WQ4A       156      XRAY        1.420    0.13    0.17
3A57A       165      XRAY        1.500    0.13    0.17
5NOAA       381      XRAY        1.260    0.12    0.15
5BOWA       151      XRAY        1.310    0.14    0.16
1NYCA       111      XRAY        1.400    0.20    0.23
4W8QA       242      XRAY        1.430    0.14    0.16
2J8KA       201      XRAY        1.500    0.17    0.18
5XKXA       407      XRAY        1.500    0.14    0.18
5V2OA        60      XRAY        1.200    0.15    0.18
3PP5A        73      XRAY        1.500    0.16    0.18
2C71A       216      XRAY        1.050    0.12    0.14
5A67A       212      XRAY        1.300    0.14    0.17
3SBMA       281      XRAY        1.350    0.16    0.17
4NDSA        94      XRAY        1.000    0.11    0.12
4A29A       258      XRAY        1.100    0.12    0.14
2DKOA       146      XRAY        1.060    0.14    0.17
3X34A        94      XRAY        0.760    0.11    0.13
4YE7A       110      XRAY        1.400    0.18    0.21
3GVEA       341      XRAY        1.250    0.15    0.16
2D1SA       548      XRAY        1.300    0.18    0.20
4HM8B       194      XRAY        1.300    0.17    0.19
2JC9A       555      XRAY        1.500    0.16    0.19
4XTBA       123      XRAY        1.500    0.14    0.18
6F0PA       433      XRAY        1.340    0.14    0.16
2RH2A        62      XRAY        0.960    0.10    0.12
3U5SA       126      XRAY        1.500    0.21    0.24
1LWBA       122      XRAY        1.050    0.10    0.14
4TXRC        58      XRAY        1.000    0.16    0.18
5GMDA       325      XRAY        1.500    0.17    0.19
4X5PA       160      XRAY        1.000    0.12    0.14
2WJ5A       101      XRAY        1.120    0.15    0.18
5NBFA       113      XRAY        1.150    0.14    0.16
1CXQA       162      XRAY        1.020    0.13    0.16
1GK9A       260      XRAY        1.300    0.15    0.17
5YQJA       187      XRAY        1.500    0.16    0.21
2FHZB       108      XRAY        1.150    0.20    0.20
4QI3A       208      XRAY        1.400    0.18    0.23
3LDCA        82      XRAY        1.450    0.19    0.20
6BO0A       200      XRAY        1.200    0.12    0.15
5VGBB        86      XRAY        1.500    0.17    0.21
4A02A       166      XRAY        0.950    0.10    0.12
1P9GA        41      XRAY        0.840    0.07    0.08
5N6YC       113      XRAY        1.350    0.11    0.15
1I71A        83      XRAY        1.450    0.17    0.20
4ESMA       302      XRAY        1.350    0.15    0.18
1X6ZA       123      XRAY        0.780    0.14    0.15
4PZ3A       153      XRAY        1.080    0.17    0.18
2AIBA        98      XRAY        1.100    0.12    0.15
3A35A       190      XRAY        1.420    0.20    0.23
2ERLA        40      XRAY        1.000    0.13    0.17
5AOZA       169      XRAY        1.140    0.12    0.14
5XM5A       193      XRAY        1.490    0.18    0.23
3QZMA       127      XRAY        1.250    0.14    0.16
2FCLA       169      XRAY        1.200    0.14    0.17
6AMGA       196      XRAY        1.450    0.14    0.16
2Y0OA       175      XRAY        1.230    0.15    0.18
3U7QB       523      XRAY        1.000    0.13    0.15
4YAAA       306      XRAY        1.050    0.13    0.14
4ANNA       215      XRAY        1.050    0.14    0.18
1AHOA        64      XRAY        0.960    0.16    1.00
1WDDS       128      XRAY        1.350    0.16    0.18
3BVXA      1045      XRAY        1.100    0.15    0.19
5UX1A       237      XRAY        1.500    0.19    0.21
5XDTA       308      XRAY        1.300    0.14    0.17
4X33A        63      XRAY        1.450    0.15    0.18
2QF4A       172      XRAY        1.200    0.14    0.17
2FUPA       157      XRAY        1.480    0.19    0.22
5TIFA       185      XRAY        0.970    0.12    0.14
3FILA        56      XRAY        0.880    0.12    0.15
2P51A       333      XRAY        1.400    0.14    0.20
2YH5A       127      XRAY        1.250    0.15    0.18
5GVRA       234      XRAY        1.500    0.18    0.21
2VB1A       129      XRAY        0.650    0.08    0.10
1XMKA        79      XRAY        0.970    0.14    0.18
4UYRA       211      XRAY        0.890    0.13    0.13
4G0XA       147      XRAY        1.350    0.16    0.18
1G6XA        58      XRAY        0.860    0.11    0.14
5IWHA       117      XRAY        1.100    0.14    0.17
5CDKA       183      XRAY        1.500    0.14    0.17
4LX2A       392      XRAY        1.500    0.17    0.20
1BX7A        55      XRAY        1.200    0.18    0.23
5II8A       138      XRAY        0.990    0.17    0.19
1V4PA       157      XRAY        1.450    0.21    0.23
4YNXA        66      XRAY        1.500    0.17    0.25
1Z67A       135      XRAY        1.450    0.16    0.21
1R6JA        82      XRAY        0.730    0.07    0.09
1TT8A       164      XRAY        1.000    0.12    0.15
4YTKA       130      XRAY        1.090    0.18    0.20
4GMUA       612      XRAY        1.200    0.17    0.20
1RYOA       327      XRAY        1.200    0.22    0.23
3TU8A       210      XRAY        1.040    0.13    0.16
3RPEA       218      XRAY        1.100    0.10    0.12
4HMSA       225      XRAY        1.330    0.12    0.15
2FJ8A       125      XRAY        1.190    0.21    0.24
3N2WA       373      XRAY        1.450    0.13    0.15
5J1NA       175      XRAY        1.090    0.16    0.18
4AL0A       152      XRAY        1.160    0.12    0.13
1ZCEA       155      XRAY        1.300    0.20    0.21
1XD3A       230      XRAY        1.450    0.18    0.19
4DJAA       518      XRAY        1.450    0.14    0.18
2OVGA        66      XRAY        1.350    0.13    0.17
5A0YC       249      XRAY        1.100    0.11    0.13
4WN5A       115      XRAY        1.150    0.12    0.14
3WH1A       206      XRAY        1.000    0.15    0.15
2V8TA       302      XRAY        0.980    0.10    0.12
5VBDA       109      XRAY        1.500    0.23    0.24
1G61A       228      XRAY        1.300    0.13    0.18
3MC3A       134      XRAY        1.490    0.12    0.14
4YZ0A       204      XRAY        1.150    0.12    0.15
2CS7A        55      XRAY        1.200    0.11    0.14
3KWRA        97      XRAY        1.450    0.16    0.18
2GGCA       263      XRAY        1.000    0.12    0.13
5AQ0A        82      XRAY        0.950    0.15    0.17
3MVSA       210      XRAY        1.100    0.16    0.19
5O2XA       248      XRAY        0.950    0.12    0.13
3I10A       278      XRAY        1.350    0.15    0.17
3ZY7A       122      XRAY        1.090    0.16    0.18
4YX1A        70      XRAY        1.350    0.17    0.20
1JY2O        56      XRAY        1.400    0.22    0.24
2ZWSA       646      XRAY        1.400    0.18    0.21
4ACJA       167      XRAY        0.970    0.12    0.14
1IOMA       377      XRAY        1.500    0.17    0.18
4EA9A       220      XRAY        0.900    0.14    0.15
5FYPA       298      XRAY        1.170    0.13    0.15
4EE6A       304      XRAY        1.330    0.19    0.21
3MQZA       215      XRAY        1.300    0.15    0.17
1E58A       249      XRAY        1.250    0.12    0.17
1GMUA       143      XRAY        1.500    0.22    0.26
4PNOA        72      XRAY        0.970    0.14    0.16
1F9VA       347      XRAY        1.300    0.22    0.24
1GPPA       237      XRAY        1.350    0.15    0.19
4PSYA       159      XRAY        0.850    0.11    0.13
4Q4GX       472      XRAY        0.970    0.13    0.17
4XOTA       597      XRAY        1.060    0.11    0.13
1UZ3A       102      XRAY        1.100    0.14    0.20
3VQJA       219      XRAY        1.200    0.14    0.17
4DWRA       487      XRAY        1.480    0.14    0.18
3KEVA       199      XRAY        1.300    0.16    0.18
3NKEA       200      XRAY        1.400    0.18    0.20
3O2RA       170      XRAY        1.250    0.14    0.17
4XMRA       254      XRAY        1.300    0.14    0.17
1QW2A       102      XRAY        1.500    0.20    0.22
3BWHA       245      XRAY        1.000    0.17    0.18
1WVQA       167      XRAY        1.450    0.21    0.22
5EQ7A       277      XRAY        1.190    0.11    0.14
5JXMA       405      XRAY        1.150    0.18    0.21
2DLBA        80      XRAY        1.200    0.15    0.17
1FD3A        41      XRAY        1.350    0.16    0.24
3CHMA       169      XRAY        1.500    0.17    0.20
1VYKA       149      XRAY        1.490    0.16    0.20
4U9HS       265      XRAY        0.890    0.10    0.11
3DNJA        85      XRAY        1.150    0.14    0.16
4TKBA       133      XRAY        0.860    0.11    0.12
3PESA        85      XRAY        1.300    0.18    0.20
2WFIA       179      XRAY        0.750    0.11    0.12
3WDCA       153      XRAY        1.180    0.12    0.16
1CY5A        97      XRAY        1.300    0.17    0.20
5B1AG        85      XRAY        1.500    0.15    0.17
5OMTA       110      XRAY        1.350    0.15    0.19
2MCMA       112      XRAY        1.500    0.15    1.00
4QLPA       176      XRAY        1.100    0.13    0.14
1KMTA       141      XRAY        1.300    0.16    0.20
4FZPA        82      XRAY        1.290    0.18    0.19
3NIRA        46      XRAY        0.480    0.13    1.00
4UU3A       168      XRAY        1.150    0.12    0.13
5JEDA       231      XRAY        1.330    0.14    0.17
3EOJA       366      XRAY        1.300    0.14    0.16
1WCWA       261      XRAY        1.300    0.19    0.22
3PD7A       107      XRAY        1.260    0.11    0.14
1N13A        52      XRAY        1.400    0.20    0.21
4LF0A       348      XRAY        1.100    0.13    0.14
2RE2A       136      XRAY        1.300    0.16    0.18
3WMTA       522      XRAY        1.500    0.14    0.17
3R87A       135      XRAY        1.050    0.15    0.17
1RWHA       757      XRAY        1.250    0.11    0.14
1DFMA       223      XRAY        1.500    0.19    0.22
4PVKA       500      XRAY        1.300    0.14    0.16
5B4ZA       345      XRAY        1.300    0.15    0.17
4KDWA       123      XRAY        1.350    0.13    0.17
3SK7A       116      XRAY        1.500    0.16    0.20
4R2XA       252      XRAY        0.930    0.15    0.16
1N3LA       372      XRAY        1.180    0.18    0.22
2UV4A       152      XRAY        1.330    0.17    0.21
1JO0A        98      XRAY        1.370    0.14    0.22
3I7MA       140      XRAY        1.460    0.16    0.20
4AQOA        92      XRAY        0.990    0.12    0.15
4Y9VA       625      XRAY        0.900    0.10    0.11
5H3VA       103      XRAY        1.400    0.20    0.25
1W5RA       278      XRAY        1.450    0.20    0.22
2PNEA        81      XRAY        0.980    0.14    0.16
4YNHA        60      XRAY        1.000    0.13    0.15
4XKBA       233      XRAY        1.500    0.16    0.20
2VOVA       336      XRAY        1.350    0.19    0.21
4NL9A        71      XRAY        1.500    0.18    0.20
1FM0E       150      XRAY        1.450    0.15    0.18
4RPTA       144      XRAY        1.350    0.19    0.21
4ZV0B        94      XRAY        1.400    0.15    0.16
4QGOA       225      XRAY        1.500    0.15    0.18
4DNDA       130      XRAY        1.400    0.16    0.20
1WHIA       122      XRAY        1.500    0.19    0.26
5V6JA       112      XRAY        1.180    0.17    0.18
4W8PA       301      XRAY        1.500    0.22    0.24
1Z72A       225      XRAY        1.450    0.15    0.17
1YU5X        67      XRAY        1.400    0.19    0.22
5DUTA       233      XRAY        1.500    0.17    0.19
5K8SA       148      XRAY        1.150    0.20    0.22
5N20A       123      XRAY        1.380    0.20    0.22
5BMTA       239      XRAY        1.500    0.17    0.19
